LAD23NM,Total,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 14 years,Aged 15 to 19 years,Aged 20 to 24 years,Aged 25 to 29 years,Aged 30 to 34 years,Aged 35 to 39 years,Aged 40 to 44 years,Aged 45 to 49 years,Aged 50 to 54 years,Aged 55 to 59 years,Aged 60 to 64 years,Aged 65 to 69 years,Aged 70 to 74 years,Aged 75 to 79 years,Aged 80 to 84 years,Aged 85 years and over
Canterbury,157440,6821,7747,8353,12610,15791,8666,8409,8340,8240,8981,9875,10223,9128,8531,9385,6909,4740,4691
Cardiff,362341,19076,21508,21512,26437,37893,29290,27002,24908,22274,20229,21065,20616,18035,14805,14065,9601,6902,7123
Carmarthenshire,187871,9051,10277,10965,9911,8817,9959,10731,10427,10177,11193,13182,14321,13410,12404,12187,9231,6008,5620
Castle Point,89559,4313,4840,5062,4601,4539,4840,4987,5008,4897,5365,6430,6413,5683,5258,6428,4828,3227,2840
Central Bedfordshire,294296,17803,18521,17858,14789,13975,17959,21211,20773,19505,19376,21077,20955,17509,14434,14701,10579,6968,6303
Ceredigion,71482,2711,3291,3429,4788,6366,3654,3453,3268,3171,3708,4751,5366,5137,4936,5013,3717,2378,2345
Charnwood,183999,9177,9862,9912,13735,16038,10957,11796,11626,10675,11037,12270,11732,10538,9329,9341,6937,4555,4482
Chelmsford,181534,9886,10799,10955,9756,9109,11510,12316,12290,12157,12447,12893,12068,10182,8791,9661,6999,4884,4831
Cheltenham,118839,5864,6377,6901,6694,7901,8130,8308,8205,7576,7422,7899,8026,6642,5623,5826,4426,3337,3682
Cherwell,161021,9351,9416,9783,8321,7912,10678,12234,11903,10926,10660,11505,11185,9099,7529,7557,5384,3821,3757
Cheshire East,398816,19932,22099,22897,19720,17623,21743,24355,24533,23879,26446,30271,30464,25646,22347,24348,18023,12440,12050
Cheshire West and Chester,357155,17617,19844,20352,18722,19696,21241,22473,22353,20857,22942,26038,26586,22687,19809,20564,14979,10662,9733
Chesterfield,103590,5083,5607,5803,4920,5312,6570,6497,6128,6041,6698,7698,7923,6916,6048,6032,4480,2994,2840
Chichester,124044,5313,6135,6627,6525,6533,6168,6389,6407,6450,7214,8486,9357,8823,7981,8775,6931,4838,5092
